"tow.id","longitude","latitude","station","new.station","fish.sample","longitude.alt1","latitude.alt1","longitude.alt2","latitude.alt2","longitude.alt3","latitude.alt3"
"GP354F",-60.389115,47.3834241666667,"regular","No","No",-60.4037957378339,47.3486610483256,-60.3734418278277,47.4172513289957,-60.3419860009622,47.3802447444434
"GP351F",-60.4630833333333,47.4317333333333,"fixed 2013","Yes","No",NA,NA,NA,NA,NA,NA
"GP353F",-60.4023091666667,47.5227383333333,"regular","No","No",-60.3712007218539,47.4707503002735,-60.3838765090209,47.468247261814,-60.3760495083694,47.4777205207295
"GP352F",-60.4383158333333,47.5562308333333,"regular","No","No",-60.5615759345387,47.5622457743606,-60.5303073674514,47.6612813049634,-60.4293677002218,47.5656037541677
"GP350F",-60.4856,47.51165,"fixed 2013","Yes","No",NA,NA,NA,NA,NA,NA
"GP346F",-60.6084741666667,47.4794866666667,"regular","No","No",-60.6334784832767,47.4430666708241,-60.7143774542027,47.5380938122968,-60.6296933752724,47.5207595865152
"GP342F",-60.6950741666667,47.566605,"regular","No","No",-60.6791312936228,47.6282206827947,-60.6423342220806,47.5879808101904,-60.6246589635216,47.5673139030242
"GP334F",-62.44035,48.33145,"fixed 2013","Yes","No",NA,NA,NA,NA,NA,NA
"GP323F",-61.0042775,47.6273408333333,"regular","No","Yes",-60.986741084934,47.6243556233974,-60.9444975316016,47.6719449573222,-61.0029608368311,47.6604610761581
"GP325F",-60.9530175,47.781615,"regular","No","Yes",-61.0484849323945,47.7164475588265,-60.9190688659124,47.6824154646588,-61.0489122452468,47.7346377265266
"GP335F",-60.8319,47.77045,"fixed 2013","Yes","No",NA,NA,NA,NA,NA,NA
"GP344F",-60.6772466666667,47.7438775,"regular","No","Yes",-60.6441705836548,47.7698673171931,-60.6857858290164,47.6728457304182,-60.6179284209893,47.7784468988544
"GP341F",-60.6975291666667,47.8141591666667,"regular","No","No",-60.7127278677939,47.8392479593518,-60.6381857059465,47.8113297967947,-60.7129671605085,47.8706238445341
"GP331F",-60.8997016666667,47.8320766666667,"regular","No","No",-60.7801295823862,47.8636202405078,-60.8500889575978,47.8098837528777,-60.8018477877106,47.8818198373631
"GP326F",-60.9772816666667,47.8210358333333,"regular","No","Yes",-61.0549039934795,47.8303158387398,-61.0204376371208,47.8000198389613,-60.9207471313353,47.871370213378
"GP315F",-61.0873691666667,47.8450475,"regular","No","Yes",-61.2524687958953,47.8628926555526,-61.0876210894627,47.7920763331372,-61.1212473407842,47.8999605627264
"GP324F",-60.9678833333333,47.9159166666667,"fixed 2013","Yes","No",NA,NA,NA,NA,NA,NA
"GP313F",-61.1034341666667,47.9680358333333,"regular","No","No",-61.2027632110957,47.923691505001,-61.1524904516112,47.925662906991,-61.1110817055488,47.9144454842667
"GP320F",-61.0135791666667,48.0333891666667,"regular","No","Yes",-60.9799368094933,48.0720421812376,-60.996066023335,48.0667538777519,-61.0518449692347,48.130008583908
