"number","tow.id","longitude","latitude","generate","longitude.alt1","latitude.alt1","longitude.alt2","latitude.alt2","longitude.alt3","latitude.alt3"
1,"GP002A1",-65.542242,47.784507,FALSE,-65.5436760907668,47.8890198545112,-65.5518873416282,47.8041246974549,-65.5696357205357,47.8917137845846
2,"GP001F",-65.624228,47.975598,FALSE,-65.6018860734226,47.9362777108247,-65.5999362407199,47.9902335128818,-65.6225120483947,47.9840903768051
3,"GP004F",-65.489552,47.862538,FALSE,-65.49321120145,47.8546101417357,-65.4166918137269,47.804282306983,-65.4131518120211,47.8692012941623
4,"GP003F",-65.51405,47.916474,FALSE,-65.4005396220076,47.9525848517998,-65.5254653271294,47.9204034464592,-65.5250801063745,47.9113939516077
5,"GP006F",-65.20881,47.89293,FALSE,-65.226481811752,47.8644147977925,-65.2974715646789,47.8450565327197,-65.2805692241792,47.8237800160014
6,"GP005F",-65.338747,47.961972,FALSE,-65.3162416625746,47.9361855904233,-65.2398241195878,47.9199534891451,-65.3062471647276,47.9464559473976
7,"GP008F",-65.140907,47.896021,FALSE,-65.0857551541718,47.8634063766478,-65.1810483658213,47.8505213755615,-65.0277672952537,47.9021620742282
8,"GP007F",-65.1757,47.92936,FALSE,-65.0774355164485,47.9711077173221,-65.1852367274295,47.9355092560411,-65.0977581396777,47.9339536850792
9,"GP009F",-64.988604,47.88713,FALSE,-64.9443749482986,47.9033775830134,-64.9313577056408,47.8888066292879,-64.9206700011302,47.9047917034689
10,"GP011F",-65.017835,47.952352,FALSE,-64.9110748609981,47.9874342112028,-64.925571468391,48.0200427327865,-64.966072792653,47.9683937180374
11,"GP010F",-64.985811,48.040983,FALSE,-64.9221157998718,48.1152033687891,-64.8920669197131,48.0852482984098,-64.887856808449,48.0593068171265
12,"GP012F",-64.771122,48.067811,FALSE,-64.7403092731459,48.0322837210906,-64.7095984123075,48.0630895562322,-64.7093767540873,48.1000655419053
13,"GP013F",-64.675775,48.246442,FALSE,-64.5391878339506,48.1825801773069,-64.5748237933992,48.1625516757589,-64.6298411599775,48.2469660896308
14,"GP016F",-64.443768,47.301722,FALSE,-64.4511628022733,47.2863227611906,-64.3609506287145,47.2849419186206,-64.4763748910627,47.286096123036
15,"GP019F",-64.345727,47.436634,FALSE,-64.3298241299698,47.3506299059425,-64.3228630334068,47.4073032524989,-64.4199430598947,47.4395778517125
16,"GP018F",-64.39225,47.501778,FALSE,-64.3702354355359,47.4612055232255,-64.4295351366605,47.5079493047415,-64.4770628795854,47.5152405671284
17,"GP015F",-64.339213,48.142498,FALSE,-64.4724346749719,48.1313219081549,-64.4237312708855,48.1337345975486,-64.4951587355421,48.1351257241657
18,"GP017F",-64.51227,48.236368,FALSE,-64.365953496207,48.1848997863076,-64.3517567007109,48.2195334062473,-64.4879200274355,48.159036780906
19,"GP014F",-64.4516985989313,48.2808749174568,TRUE,-64.4011324631496,48.2950748587277,-64.4211942288097,48.2834541068616,-64.3647875263809,48.3348341593812
20,"GP026F",-64.184297,47.084063,FALSE,-64.2376791753112,47.0660524177305,-64.2987289982041,47.0887389656423,-64.1610060185987,47.1073568915524
21,"GP024F",-64.244892,47.18962,FALSE,-64.2576168921796,47.2097009645984,-64.2556971210681,47.1432103348259,-64.2299132118974,47.2099454705876
22,"GP025F",-64.196425,47.311303,FALSE,-64.2801439949462,47.2749848649101,-64.2545247069903,47.2304705806889,-64.2367086988448,47.2370582292949
23,"GP023F",-64.285308,47.360128,FALSE,-64.2715454318313,47.4540075631228,-64.1732014852531,47.4280788654919,-64.2420575425585,47.448943801891
24,"GP028F",-64.178255,47.54512,FALSE,-64.3160110687932,47.5213138391021,-64.2253253114283,47.4880482778622,-64.2875308728675,47.5113948053177
25,"GP022F",-64.166,47.659467,FALSE,-64.1930475873341,47.6057732893495,-64.165582453933,47.5871876380791,-64.3173823433819,47.6831826218028
26,"GP030F",-64.164693,47.698238,FALSE,-64.23271206223,47.7992616551456,-64.190660200306,47.7145787426049,-64.3005025988143,47.6918682967451
27,"GP031F",-64.165022,47.812493,FALSE,-64.2307088153885,47.8105837083819,-64.2540698307924,47.8444640436562,-64.1908553212948,47.8295401150968
28,"GP021F",-64.304523,48.251053,FALSE,-64.1825269160507,48.238326206553,-64.3061809645684,48.2587775976343,-64.3125065706737,48.2547659792155
29,"GP020F",-64.335135,48.270225,FALSE,-64.1936298344601,48.3353674584955,-64.2428366507105,48.3115037237253,-64.1986202899229,48.3124363078484
30,"GP027F",-64.182992,48.540292,FALSE,-64.1954523231305,48.5461626180848,-64.1937747119197,48.5471944565483,-64.1886997800741,48.5635030959415
31,"GP036F",-64.098693,47.222928,FALSE,-64.1088434420799,47.2065472437139,-64.1285001548734,47.2168960424554,-64.1453056702621,47.2200466735821
32,"GP044F",-64.084307,47.41759,FALSE,-63.9940911812482,47.4482536694447,-64.0177215966197,47.4557992990383,-64.0929983083168,47.4173573612213
