Year	Zone	Date	Tow_number	Lat	Lon	Commercial_count	Commercial_weight	Commercial345_count	Commercial345__weight	Area_swept	Zone_date_tow	Depth	Temperature	grid	intended grid	Tow_quality	boat	primary_or_alternate	Station ID	minilog file	esonar file	Headline num	Tilt num	depth (fathoms)	females	males	total count
2015	Zone12	12/10/2015	10	46.264388	-61.651627	37	23.41356492	7	4.420115788	2258	Zone12-12/10/2015-10	56.6928	4	AD23	AD23	1	JM	P	276	bin6387.170	GP276F	C8054GP276F.093		31	41	104	145
2015	Zone12	13/10/2015	2	46.216938	-61.591713	6	3.699001173	0	0	2274	Zone12-13/10/2015-2	54.864	3.2	AD24	AD24	2	JM	P	284	bin6387.172	GP284F	C8054GP284F.095	H0633GP284F.001	30	28	44	72
2015	Zone12	13/10/2015	3	46.203995	-61.436545	0	0	0	0	2017	Zone12-13/10/2015-3	38.4048	12.9	AD25	AD25	1	JM	P	294	bin6387.173	GP294F	C8054GP294F.096	H0633GP294F.002	21	0	0	0
2015	Zone12	03/09/2015	8	46.320832	-61.920452	1	0.884437143	0	0	2233	Zone12-03/09/2015-8	40.2336	3.5	AE22	AE22	1	JM	P	256	bin6387.024	GP256F	C8049GP256F.149	H0661GP256F.235	22	3	4	7
2015	Zone12	12/10/2015	8	46.389642	-61.787038	0	0	0	0	2602	Zone12-12/10/2015-8	40.2336	11.9	AE23	AE23	1	JM	P	267	bin6387.168	GP267F	C8054GP267F.091	H0616GP267F.065	22	1	3	4
2015	Zone12	12/10/2015	9	46.382477	-61.619515	1	0.593216569	1	0.593216569	2834	Zone12-12/10/2015-9	54.864	4.4	AE24	AE24	1	JM	P	280	bin6387.169	GP280F	C8054GP280F.092	H0616GP280F.066	30	52	40	92
2015	Zone12	13/10/2015	4	46.370123	-61.336493	0	0	0	0	2388	Zone12-13/10/2015-4	51.2064	5.5	AE25	AE25	1	JM	P	301	bin6387.174	GP301F	C8054GP301F.097	H0633GP301F.003	28	7	29	36
2015	Zone12	12/10/2015	7	46.479975	-61.741935	0	0	0	0	2465	Zone12-12/10/2015-7	40.2336	12.5	AF23	AF23	1	JM	P	272	bin6387.167	GP272F	C8054GP272F.090	H0616GP272F.064	22	3	1	4
2015	Zone12	13/10/2015	6	46.456547	-61.47596	20	12.79927026	10	5.938755488	1938	Zone12-13/10/2015-6	64.008	0.7	AF24	AF24	1	JM	P	289	bin6387.176	GP289F	C8054GP289F.099	H0633GP289F.005	35	60	31	91
2015	Zone12	13/10/2015	5	46.458935	-61.362288	1	0.565743996	0	0	2493	Zone12-13/10/2015-5	62.1792	1.3	AF25	AF25	1	JM	P	298	bin6387.175	GP298F	C8054GP298F.098	H0633GP298F.004	34	28	21	49
