"tow.id","longitude","latitude","new.station","zone","fish.sample","longitude.alt1","latitude.alt1","longitude.alt2","latitude.alt2","longitude.alt3","latitude.alt3"
"GP001F",-65.6263083333333,47.976175,"No","12","No",-65.5742535742657,47.9292137041512,-65.5998823343075,47.9020567845724,-65.6217209650476,47.9220031226505
"GP002F",-65.5415916666667,47.7850916666667,"No","12","Yes",-65.5368759318094,47.8636984567626,-65.5755373718229,47.82003648442,-65.5289970284343,47.8373688673421
"GP003F",-65.4901916666667,47.9164,"No","12","No",-65.4912821267865,47.8973855095301,-65.3826213476274,47.9416389347035,-65.4364657856701,47.9317535973584
"GP004F",-65.4848166666667,47.8614666666667,"No","12","No",-65.5006326771663,47.8771402536229,-65.4813469251096,47.8447406478657,-65.407739299112,47.8874236413621
"GP005F",-65.3417333333333,47.9608916666667,"No","12","No",-65.197679439667,47.9018328431937,-65.2632698773529,47.9299451728458,-65.2753233696645,47.930685548218
"GP006F",-65.2090166666667,47.8924416666667,"No","12","No",-65.2825408644748,47.8839604325187,-65.3057843138785,47.8676432915686,-65.2048165678304,47.9008686897279
"GP007F",-65.1733083333333,47.9294666666667,"No","12","Yes",-65.0763868464214,48.0065696657589,-65.1329933066758,47.9878070575937,-65.0813481106001,47.9236740635481
"GP008F",-65.1393,47.8968833333333,"No","12","Yes",-65.1145062142571,47.87200875097,-65.1665434360066,47.8986224052714,-65.1097028105222,47.8753082207135
"GP009F",-64.98705,47.887025,"No","12","No",-65.011892142072,47.8986254461527,-64.9794155811544,47.8884050144264,-64.9887405777255,47.8839095472946
"GP010F",-64.9902166666667,48.0428666666667,"No","12","Yes",-64.8686248933311,48.1059915318966,-64.952339339613,48.0505057718589,-64.9637624178339,48.0265910877929
"GP011F",-65.0146333333333,47.9518416666667,"No","12","No",-64.948347073375,47.990323818686,-65.0103739199805,48.0049747447593,-64.922636682751,48.0029117832865
"GP012F",-64.7752916666667,48.0662833333333,"No","12","No",-64.7633978178743,48.0452481604525,-64.6912809932819,48.1346607173999,-64.7977398959822,48.0854345576091
"GP013F",-64.6753916666667,48.2441416666667,"No","12","Yes",-64.639663205984,48.1716947010606,-64.5354039797288,48.1836165895145,-64.5442443271293,48.2252221441696
"GP014F",-64.4041166666667,48.3644583333333,"No","12","No",-64.3648117579826,48.3412815031588,-64.4661384622487,48.3563523545014,-64.5120861490708,48.3501579795542
"GP015F",-64.4724666666667,48.1203,"No","12","No",-64.4939436890188,48.1394604211054,-64.509589826589,48.1335518775538,-64.4919033498928,48.1378536176149
"GP016F",-64.4435166666667,47.3022333333333,"No","12","Yes",-64.4832689544598,47.2283709648192,-64.3435941950345,47.2536411502271,-64.3858439491266,47.2453532424097
"GP017F",-64.424825,48.197025,"No","12","No",-64.5050849123193,48.2032507794758,-64.424508254711,48.1855532222638,-64.4669681012892,48.1689949029012
"GP018F",-64.391175,47.50255,"No","12","No",-64.3981599115175,47.5584036724606,-64.4563412547913,47.4605111254492,-64.4551648465261,47.4654167999248
"GP019F",-64.3455166666667,47.436275,"No","12","No",-64.4623653398925,47.373359954494,-64.3741190034115,47.36768134104,-64.3203945977885,47.4077435769579
"GP020F",-64.3345583333333,48.2695416666667,"No","12","No",-64.1779223736594,48.3078061197038,-64.2469012924293,48.3422338169649,-64.2203743577224,48.286377594267
"GP021F",-64.3060916666667,48.2531333333333,"No","12","No",-64.2386581502452,48.1961187088106,-64.2571384865878,48.2353616864345,-64.2168145579392,48.1623523584239
"GP022F",-64.1606083333333,47.6584833333333,"No","12","Yes",-64.1650162816664,47.6403097963531,-64.285094967499,47.6610487958171,-64.2576031148604,47.5893043417554
"GP023F",-64.2833333333333,47.3582583333333,"No","12","No",-64.199135444734,47.3845137215418,-64.1929880573185,47.4554224016418,-64.2882176665739,47.4150974730858
"GP024F",-64.2446666666667,47.1897583333333,"No","12","No",-64.1626270222421,47.1463728500941,-64.2253968794564,47.2250173872554,-64.3054033827821,47.1995370131266
"GP025F",-64.1916333333333,47.3158416666667,"No","12","No",-64.3099222097472,47.2536379901127,-64.3107254583717,47.3009700352944,-64.2678178070578,47.2980567145852
"GP026F",-64.1880083333333,47.0859,"No","12","No",-64.2548419761504,47.0992946131753,-64.1771301055334,47.0767098712717,-64.2385031401562,47.0673789558666
"GP027F",-64.1764083333333,48.5385833333333,"No","12","Yes",-64.1839267661843,48.546430720937,-64.1796612550856,48.5686101802697,-64.175776242552,48.5562095857868
"GP028F",-64.1779916666667,47.54435,"No","12","No",-64.3147683114447,47.5181753838625,-64.1822467885334,47.5458068120989,-64.2110495445083,47.5649848103506
"GP029F",-64.0168416666667,48.2810333333333,"No","12","No",-64.036046585347,48.3658754700613,-64.0593204685524,48.3101013804869,-64.1466224542169,48.3051791253954
"GP030F",-64.1596833333333,47.6985083333333,"No","12","No",-64.2677812401263,47.7995716883594,-64.1793858606976,47.7456835938687,-64.2213186800691,47.7092667726285
"GP031F",-64.1853916666667,47.8653666666667,"No","12","No",-64.1948139103939,47.9072866489846,-64.2156774545322,47.8663899542947,-64.2608847972323,47.8219301232879
"GP032F",-64.1288916666667,47.553875,"No","12","No",-64.0463270560658,47.4672986592615,-64.0022890591093,47.5169871293198,-63.9993732221517,47.5210711891628
"GP033F",-64.1254166666667,48.542075,"No","12","No",-64.0810703978513,48.5269413062322,-64.050191776527,48.6020637669477,-64.0860311766216,48.5936422725693
"GP034F",-64.1156166666667,48.455425,"No","12","No",-64.0188849562112,48.3824952958507,-64.0898318534481,48.3879117795802,-64.064184193335,48.4133103121649
"GP035F",-64.0611333333333,48.7579583333333,"No","12","No",-64.0653572411784,48.7450083884299,-64.0133483004145,48.7888508060798,-64.016497889889,48.7651125959971
"GP036F",-64.0955833333333,47.2249166666667,"No","12","No",-64.0762453807939,47.2230449450296,-64.1360430147555,47.1954990007342,-64.1264459417331,47.2075566021787
"GP037F",-64.0696583333333,48.2368166666667,"No","12","Yes",-64.1316347836919,48.2277287762712,-64.0179205047432,48.2031447532737,-64.0040848051721,48.2413229477437
"GP038F",-64.0523333333333,48.6259083333333,"No","12","No",-64.0108627692735,48.6088755501383,-64.0795030029542,48.6157608748452,-64.1596527028521,48.7042460585951
"GP039F",-64.05395,47.944325,"No","12","No",-64.0963566178359,47.9332342631568,-64.07030757216,47.952054353299,-64.0850639943446,48.0044380305923
"GP040F",-64.0938583333333,47.6833583333333,"No","12","No",-63.9838584417969,47.5740407061187,-64.0711473962738,47.6178206301979,-64.1137925314386,47.6074513950197
"GP041F",-64.0231833333333,47.8244916666667,"No","12","Yes",-64.1450302162203,47.8372733117642,-64.053133628581,47.8110595737515,-64.0143434890638,47.9124663336768
"GP042F",-64.0072,47.7631333333333,"No","12","No",-64.0306102643576,47.7701403867201,-64.1063299595666,47.734372222732,-64.1528352482861,47.6971513988122
"GP043F",-64.0652833333333,48.1117333333333,"No","12","No",-64.0572676257945,48.0519517537395,-64.0452444678189,48.1339937867421,-64.0445905087751,48.0632042441644
"GP044F",-64.0842833333333,47.4167833333333,"No","12","Yes",-63.9964404699201,47.4451929662087,-64.1362020443371,47.4318038202277,-64.1429850777416,47.3716324058045
"GP045F",-63.969775,47.9389083333333,"No","12","No",-63.8305642361002,47.9369826183668,-63.8753647286045,47.9202246871498,-63.8217484213718,47.9470965408667
"GP046F",-63.9501833333333,47.3338083333333,"No","12","Yes",-63.9267797048694,47.341535596286,-63.8325768124838,47.3363930762658,-63.9691213502478,47.3046297278418
"GP047F",-63.9572666666667,47.6437583333333,"No","12","Yes",-63.9248026545842,47.5795294877809,-63.9019134878835,47.630387779179,-63.8793423394602,47.6785628064503
"GP048F",-63.8346166666667,47.4413,"No","12","No",-63.8288205054244,47.45910666471,-63.8515466713454,47.3569535974101,-63.8276259119083,47.4225767382825
"GP049F",-63.8123416666667,47.2009333333333,"No","12","No",-63.8632517842021,47.223455043337,-63.8581033005993,47.1876195763766,-63.9166369305026,47.2225418945049
"GP050F",-63.8994083333333,47.48865,"No","12","No",-63.8621514224382,47.4812096393917,-63.9061642020958,47.5224854465004,-63.8471073888077,47.5049369945575
"GP051F",-63.8745833333333,47.8212166666667,"No","12","No",-63.9535372040582,47.8528554793216,-63.845934461123,47.8866990714668,-63.823550801811,47.9098966156521
