"tow.id","longitude","latitude","station","new.station","fish.sample","longitude.alt1","latitude.alt1","longitude.alt2","latitude.alt2","longitude.alt3","latitude.alt3"
"GP354F",-60.389115,47.3834241666667,"regular","No","No",-60.3644645476999,47.3336760203759,-60.3473412695296,47.4286293572348,-60.2868422184492,47.3398750855472
"GP351F",-60.4630833333333,47.4317333333333,"fixed 2013","Yes","No",NA,NA,NA,NA,NA,NA
"GP353F",-60.4023091666667,47.5227383333333,"regular","No","No",-60.399121035088,47.474124086607,-60.3681268136458,47.4961606844316,-60.3544128813865,47.5080516078185
"GP352F",-60.4383158333333,47.5562308333333,"regular","No","No",-60.5451930110558,47.5861953784493,-60.5199067169306,47.6000317594128,-60.5403137647663,47.6270714613186
"GP350F",-60.4856,47.51165,"fixed 2013","Yes","No",NA,NA,NA,NA,NA,NA
"GP346F",-60.6084741666667,47.4794866666667,"regular","No","No",-60.6402782717562,47.5084434884497,-60.6223319507795,47.4972988859766,-60.6347913004581,47.4613762020749
"GP342F",-60.6950741666667,47.566605,"regular","No","No",-60.6906080555908,47.6542349078208,-60.6983723596159,47.5579353199401,-60.7091648972088,47.6113267277121
"GP334F",-62.44035,48.33145,"fixed 2013","Yes","No",NA,NA,NA,NA,NA,NA
"GP323F",-61.0042775,47.6273408333333,"regular","No","No",-60.9584362796707,47.5642771008831,-61.0060951356574,47.6497495567947,-60.9494912013406,47.6079299956406
"GP325F",-60.9530175,47.781615,"regular","No","No",-60.9256901551989,47.7603042578341,-60.9202423981208,47.6761063888381,-60.9681080812633,47.7665459714068
"GP335F",-60.8319,47.77045,"fixed 2013","Yes","No",NA,NA,NA,NA,NA,NA
"GP344F",-60.6772466666667,47.7438775,"regular","No","No",-60.7184567052481,47.7440669673467,-60.6865654966921,47.7131188241908,-60.6376171533503,47.7554775103376
"GP341F",-60.6975291666667,47.8141591666667,"regular","No","No",-60.6828974054322,47.8536377451085,-60.6723353142558,47.816635069484,-60.6900386400238,47.836572555826
"GP331F",-60.8979833333333,47.8317833333333,"fixed 2013","Yes","No",NA,NA,NA,NA,NA,NA
"GP326F",-60.9772816666667,47.8210358333333,"regular","No","No",-60.9754180263309,47.8881201914128,-60.9492468529039,47.8610930158223,-61.0289680511194,47.848335616764
"GP315F",-61.0873691666667,47.8450475,"regular","No","Yes",-61.0962174802575,47.8768728584456,-61.0891579449316,47.8575773673551,-61.0931175109011,47.903848720646
"GP324F",-60.9678833333333,47.9159166666667,"fixed 2013","Yes","Yes",NA,NA,NA,NA,NA,NA
"GP313F",-61.1034341666667,47.9680358333333,"regular","No","No",-61.1418163686622,47.9545748465252,-61.1585926205129,47.9515177302903,-61.2060696509415,48.021076964021
"GP320F",-61.0135791666667,48.0333891666667,"regular","No","Yes",-61.0539782825748,48.1182609046096,-61.0013679913881,48.0751230119675,-61.0569244106227,48.0403633025156
"GP312F",-61.1146833333333,48.08115,"fixed 2013","Yes","No",NA,NA,NA,NA,NA,NA
"GP316F",-61.2408841666667,48.1955666666667,"regular","No","No",-61.2351078262645,48.1878291064798,-61.2024084816197,48.1758350152448,-61.1994759628225,48.1749888054543
"GP295F",-61.4039241666667,48.0940525,"regular","No","No",-61.4125365443857,48.091203925505,-61.3038348076525,48.0737543302621,-61.2913911017364,48.0936817009931
"GP293F",-61.4379666666667,48.2268,"fixed 2013","Yes","No",NA,NA,NA,NA,NA,NA
"GP282F",-61.60599,48.2244625,"regular","No","No",-61.7237423634069,48.2290993612818,-61.6868230540687,48.2349700515637,-61.6129923968242,48.2400002313737
"GP273F",-61.7067575,48.1137791666667,"regular","No","No",-61.7273478675723,48.1367351827662,-61.6881138805145,48.079955698882,-61.6186537547828,48.0879773981509
"GP269F",-61.7842316666667,48.2837725,"regular","No","No",-61.8725738960371,48.3178762863189,-61.7993330589246,48.3202929179286,-61.8917424672994,48.3334769041786
"GP260F",-61.8834841666667,48.2347566666667,"regular","No","Yes",-61.8603762025895,48.1645735008325,-61.8805236689228,48.2232311107517,-61.8710412366016,48.2524788257904
"GP251F",-61.951805,48.2492041666667,"regular","No","No",-62.0264528002634,48.2538716262041,-61.9419153743643,48.2344370134016,-62.0427625691823,48.2014466201484
"GP250F",-61.9567333333333,48.2835333333333,"fixed 2013","Yes","No",NA,NA,NA,NA,NA,NA
"GP235F",-62.11169,48.4029933333333,"regular","No","Yes",-62.2632089566252,48.4138131494364,-62.1399828813436,48.3823407936163,-62.2248708643433,48.3811785664676
"GP237F",-62.1084033333333,48.3600066666667,"regular","No","No",-62.1702370380982,48.3426347777026,-62.266696131443,48.3432262470932,-62.2689783266271,48.2869065244836
"GP208F",-62.597418542885,48.2924839934846,"regular","Yes","No",-62.5242203402384,48.3409443349841,-62.4995608970166,48.3505755501202,-62.4735173267253,48.2805733018658
"GP120F",-63.2433983333333,48.9107775,"regular","No","Yes",-63.1791573346589,48.8776687084991,-63.2022931664052,48.8872492517721,-63.2763587352077,48.9146311012187
"GP098F",-63.4243083333333,48.93282,"regular","No","No",-63.4200239252079,48.9157737639016,-63.4217310729529,48.8603735620327,-63.3581563473582,48.8929660582162
"GP081F",-63.5933766666667,48.8992316666667,"regular","No","No",-63.6505502107618,48.9413011395097,-63.4894035732818,48.9406847752168,-63.6281909394398,48.8704832389937
"GP072F",-63.669025,48.7396291666667,"regular","No","No",-63.7597986298192,48.810855348987,-63.7745348009852,48.7355280428283,-63.7936884693469,48.7710002878753
"GP085F",-63.5538033333333,48.8346541666667,"regular","No","Yes",-63.55039327349,48.7515903064183,-63.5973084966259,48.7295996139747,-63.5269072180468,48.8261308664217
"GP109F",-63.3383434223162,48.7979733818751,"fixed 2013","Yes","No",NA,NA,NA,NA,NA,NA
"GP122F",-63.2707041666667,48.7538133333333,"regular","No","No",-63.1647501687291,48.8150914636381,-63.2461027761195,48.77550354023,-63.2499547472911,48.7953617851578
"GP121F",-63.2382008333333,48.66839,"regular","No","No",-63.1508242087158,48.7175751526435,-63.1812000971396,48.6550439554768,-63.2365901921567,48.711285671454
"GP142F",-63.1117333333333,48.7189666666667,"fixed 2013","Yes","No",NA,NA,NA,NA,NA,NA
"GP156F",-62.9306725,48.5918166666667,"regular","No","No",-62.89189900557,48.5189854067427,-62.8884591675298,48.5246743164238,-62.9329107055246,48.5899573744789
"GP134F",-63.1471191666667,48.5648241666667,"regular","No","Yes",-63.2274497314793,48.5003699457493,-63.2205213548281,48.5406415632584,-63.1496555834525,48.5835269179293
"GP139F",-63.206,48.1530333333333,"fixed 2013","Yes","Yes",NA,NA,NA,NA,NA,NA
"GP115F",-63.3032875,48.4400125,"regular","No","No",-63.2825899323784,48.4358002384056,-63.2801013345636,48.435659108528,-63.196331640058,48.4068966771151
"GP130F",-63.1718483333333,48.30887,"regular","No","No",-63.3038146696539,48.3280794924383,-63.1462284628195,48.3672951734653,-63.1738709255504,48.316015878564
"GP152F",-62.9780666666667,48.3112433333333,"regular","No","No",-62.9965807618694,48.3207355483586,-63.0731683862786,48.2700787305743,-63.0836931814085,48.3386914359688
"GP138F",-62.9629216666667,48.3866941666667,"regular","No","No",-63.1031595611004,48.4764422956738,-62.9628511165772,48.3836237185781,-63.1212431641941,48.4324099118649
"GP166F",-62.8463866666667,48.4163958333333,"regular","No","Yes",-62.8640845219513,48.4370225293923,-62.9102152761153,48.4439524953424,-62.9335980212109,48.4454241817263
"GP187F",-62.62345,48.4263833333333,"fixed 2013","Yes","No",NA,NA,NA,NA,NA,NA
"GP203F",-63.1195186396794,48.5944721815475,"regular","Yes","No",-63.1136920877381,48.5510282505432,-63.083109999038,48.5368088168609,-63.0635154350317,48.5918309042037
"GP181F",-62.6751458333333,48.3083283333333,"regular","No","No",-62.7278294826378,48.3148010595473,-62.7898427721558,48.3035023792375,-62.7298255783789,48.3347887724195
"GP165F",-62.8542666666667,48.3755166666667,"fixed 2013","Yes","No",NA,NA,NA,NA,NA,NA
"GP153F",-62.9684,48.2097275,"regular","No","No",-62.978906614434,48.1895658183667,-62.9918513578004,48.1777805674722,-63.1084460269766,48.2503142796924
"GP169F",-62.8479841666667,48.1788733333333,"regular","No","No",-62.8318321129154,48.2007656485487,-62.8543967897273,48.2526093767638,-62.894309979195,48.1739433667526
"GP180F",-62.7867166666667,48.2647333333333,"fixed 2013","Yes","No",NA,NA,NA,NA,NA,NA
"GP185F",-62.663935,48.1440275,"regular","No","No",-62.6780230129359,48.1088837868697,-62.7679574541624,48.1022838763553,-62.7204480387189,48.0873694642737
"GP201F",-62.5405691666667,48.1733983333333,"regular","No","No",-62.5912820005441,48.1891931731167,-62.5396242439634,48.2260609232447,-62.4673352623129,48.2431828706579
"GP207F",-62.3634666666667,48.25945,"fixed 2013","Yes","Yes",NA,NA,NA,NA,NA,NA
"GP227F",-62.2104341666667,48.1813958333333,"regular","No","No",-62.1314057033785,48.1590277148242,-62.2741640531995,48.1656968208404,-62.1347037545767,48.1536704638516
"GP230F",-62.1820333333333,48.1386233333333,"regular","No","No",-62.1318674103727,48.0649936490704,-62.2333395373442,48.1325265638948,-62.2119162268927,48.1398318995057
"GP217F",-62.3767283333333,48.0781216666667,"regular","No","No",-62.3070917698414,48.0508218206824,-62.3751225847399,48.150633121979,-62.4101842572273,48.1444796204077
"GP200F",-62.5031058333333,48.0650741666667,"regular","No","No",-62.5542029053469,48.085011782101,-62.4900768376429,48.0964637432786,-62.4984944517834,48.0969970588654
"GP218F",-62.3675408333333,48.0335775,"regular","No","No",-62.4298018589767,48.0029949303643,-62.2814859091871,47.9723178690657,-62.356219667212,47.9733754219674
"GP236F",-62.2583225,47.9631491666667,"regular","No","Yes",-62.1242609972785,47.973047396477,-62.1637605731387,47.9383297540871,-62.2567922663964,47.9994584644678
"GP243F",-62.0081308333333,48.0116075,"regular","No","No",-61.9735823599252,48.0136947239385,-61.9533718460267,48.0010699317377,-61.9731618198731,48.0155617084975
"GP249F",-62.0591583333333,48.1280066666667,"regular","No","Yes",-61.9781865791691,48.1134756369473,-62.0349430090769,48.0875918240665,-62.0316243265808,48.0540271172478
"GP261F",-61.88365,48.04405,"fixed 2013","Yes","No",NA,NA,NA,NA,NA,NA
"GP257F",-61.9129533333333,47.9856408333333,"regular","No","No",-61.9339586410006,47.9355078537224,-61.781810213928,48.0081455801291,-61.8560296579462,48.0084671707526
"GP278F",-61.67208,47.9501308333333,"regular","No","Yes",-61.74731661287,47.9829548882462,-61.6422448778784,47.9552731818642,-61.6123038808662,47.956756536343
"GP290F",-61.4583166666667,48.0426166666667,"fixed 2013","Yes","No",NA,NA,NA,NA,NA,NA
"GP287F",-61.4587741666667,47.9863216666667,"regular","No","Yes",-61.4383235852419,47.9624992625857,-61.573816928365,47.9309279903647,-61.4707182530775,48.0119589264817
"GP303F",-61.3783041666667,47.9546708333333,"regular","No","No",-61.2693225839789,47.9339175587214,-61.4169060369976,48.0261618251827,-61.329810438737,48.0119340559019
"GP300F",-61.3024833333333,47.8761166666667,"fixed 2013","Yes","No",NA,NA,NA,NA,NA,NA
"GP253F",-61.9403425,47.6989641666667,"regular","No","No",-61.9332840114043,47.7830836543995,-61.8927446043356,47.7974527515073,-61.8487877925703,47.7148793909064
"GP242F",-61.9626666666667,47.7064058333333,"regular","No","No",-62.0755910054381,47.7668195835676,-62.056559465699,47.7509151174682,-61.9454789748225,47.7454649104693
"GP239F",-61.985005,47.67357,"regular","No","No",-62.0602165149323,47.6808829404623,-62.0770408377596,47.6627270231019,-62.0259299547466,47.6416194889129
"GP224F",-62.2157275,47.65038,"regular","No","Yes",-62.2249514311948,47.6865054260776,-62.1909041770273,47.5828844461939,-62.2656636009663,47.6762417265853
"GP213F",-62.3876625,47.6301833333333,"regular","No","Yes",-62.325949870373,47.6103519812589,-62.4305453650692,47.6144973589872,-62.3462452586048,47.6077650310037
"GP205F",-62.4655166666667,47.60025,"fixed 2013","Yes","No",NA,NA,NA,NA,NA,NA
"GP222F",-62.2737583333333,47.5571408333333,"regular","No","No",-62.2230323771747,47.5738269184819,-62.2525733197839,47.4926902875978,-62.2598661432705,47.514492632172
"GP211F",-62.39372,47.5071325,"regular","No","No",-62.3531675459089,47.5547107533382,-62.3195124526442,47.5676511274928,-62.3809574833719,47.4615906636522
"GP194F",-62.5783333333333,47.4879166666667,"fixed 2013","Yes","No",NA,NA,NA,NA,NA,NA
"GP199F",-62.5135716666667,47.4288525,"regular","No","No",-62.6215921692574,47.3576265102858,-62.525639276999,47.421309461259,-62.6042061959068,47.433515098509
"GP219F",-62.3642483333333,47.3822725,"regular","No","No",-62.4359309801111,47.3500069612164,-62.3935975696387,47.4559449931609,-62.3914406058615,47.4399665133016
"GP212F",-62.3379,47.26305,"fixed 2013","Yes","No",NA,NA,NA,NA,NA,NA
"GP196F",-62.5690733333333,47.276665,"regular","No","No",-62.50804001146,47.2440726926513,-62.5857511535096,47.313241807936,-62.5895874573719,47.3070108098089
"GP188F",-62.6313975,47.2537091666667,"regular","No","No",-62.6686176877978,47.2481602291139,-62.6892652108754,47.3098763443758,-62.6439507194979,47.3144258300264
"GP234F",-62.2321666666667,46.5972333333333,"fixed 2013","Yes","Yes",NA,NA,NA,NA,NA,NA
"GP240F",-62.1889776844434,47.0824631771711,"regular","Yes","Yes",-62.2857007892115,47.0619514517533,-62.1885945190134,47.0258672823501,-62.2392444680415,47.074388670879
"GP265F",-62.1257210778824,46.601339477567,"regular","Yes","No",-62.1052973536785,46.6055491231205,-62.0256637465694,46.6426846069484,-62.1082632343291,46.6199085248286
"GP274F",-61.7218333333333,46.5991666666667,"fixed 2013","Yes","Yes",NA,NA,NA,NA,NA,NA
"GP268F",-61.7709208333333,46.6797516666667,"regular","No","No",-61.6703342811981,46.7520837673988,-61.7140048574283,46.7548806565618,-61.6848453622068,46.6625154809961
"GP259F",-61.8856558333333,46.6825516666667,"regular","No","Yes",-61.8398009098011,46.6631658662226,-61.7965084447817,46.7021711329643,-61.8036952925258,46.7145365726286
"GP248F",-61.9684333333333,46.73455,"fixed 2013","Yes","Yes",NA,NA,NA,NA,NA,NA
"GP263F",-61.8639866666667,46.7728,"regular","No","Yes",-61.8601466096865,46.8218451521873,-61.8576031543322,46.7771719945004,-61.8284080505051,46.8215268582948
"GP245F",-61.9876983333333,46.7889225,"regular","No","No",-61.979929887116,46.8305147000668,-61.9916574978702,46.8283251215409,-62.0836032023809,46.8594419055296
"GP233F",-62.2115733333333,46.811785,"regular","No","No",-62.1476952137471,46.7959998005344,-62.2843894844332,46.8222796115945,-62.2870218455919,46.838267638054
"GP226F",-62.2087258333333,46.70695,"regular","No","No",-62.2414753690141,46.7597067045944,-62.1642128467778,46.6675756419038,-62.2634592001684,46.6947166058766
"GP220F",-62.2966558333333,46.7350741666667,"regular","No","No",-62.3715368513337,46.7434171043,-62.3537985486281,46.716784916017,-62.3263771276916,46.7549993379044
"GP214F",-62.4312833333333,46.5436,"fixed 2013","Yes","No",NA,NA,NA,NA,NA,NA
"GP192F",-62.5359608333333,46.614625,"regular","No","No",-62.5015715110639,46.6322766435905,-62.553671543946,46.6104474091494,-62.5415229500955,46.6484413765375
"GP197F",-62.5749866666667,46.6623641666667,"regular","No","No",-62.548439026551,46.7041572966732,-62.4950912820555,46.6866942786041,-62.5497669288105,46.6795086462591
"GP189F",-62.6322166666667,46.6092666666667,"fixed 2013","Yes","No",NA,NA,NA,NA,NA,NA
"GP174F",-62.7860391666667,46.6655075,"regular","No","No",-62.6522351233539,46.6896242317568,-62.6597799537946,46.6997808026611,-62.7651991220404,46.6575554885348
"GP162F",-62.8447883333333,46.6060141666667,"regular","No","No",-62.8786769541021,46.6386163273409,-62.9360978381533,46.6234696386901,-62.9541211925673,46.57900273477
"GP154F",-62.9702,46.6404,"fixed 2013","Yes","No",NA,NA,NA,NA,NA,NA
"GP133F",-63.1650266666667,46.620375,"regular","No","No",-63.278853141624,46.6336515488867,-63.1856850759845,46.5644838685085,-63.2255213938014,46.641743182392
"GP141F",-63.1164825,46.6753975,"regular","No","No",-63.1083965294515,46.6654402375938,-63.0988667238829,46.7084338272749,-63.1157492354148,46.7310287734723
"GP170F",-62.8413166666667,46.67895,"fixed 2013","Yes","No",NA,NA,NA,NA,NA,NA
"GP159F",-62.8353941666667,46.83412,"regular","No","Yes",-62.8707582861218,46.825866117039,-62.8036112440843,46.8047915566628,-62.8671504967006,46.7992701200896
"GP184F",-62.6899925,46.8198291666667,"regular","No","No",-62.6693499737686,46.88186094569,-62.6292717778963,46.7720734141393,-62.641447037146,46.8342023314398
"GP202F",-62.49635,46.7967166666667,"fixed 2013","Yes","No",NA,NA,NA,NA,NA,NA
"GP206F",-62.437825,46.8815366666667,"regular","No","No",-62.322084705632,46.8812175952458,-62.31514589833,46.8638344016724,-62.3941819124422,46.8831873629264
"GP215F",-62.3356091666667,46.9437066666667,"regular","No","Yes",-62.3266636878322,46.9552882796112,-62.4552168508174,46.9457418590586,-62.3360607815502,46.9855602010899
"GP198F",-62.5399666666667,46.9357833333333,"fixed 2013","Yes","No",NA,NA,NA,NA,NA,NA
"GP179F",-62.6876791666667,47.0131116666667,"regular","No","Yes",-62.694443786991,47.0374345891163,-62.7327665354541,47.1017745870194,-62.7026960255757,47.0831568941948
"GP176F",-62.7721575,46.989385,"regular","No","No",-62.7637139928583,46.994250397596,-62.7307555975788,46.9070125922633,-62.6680435711183,46.9649487809419
"GP158F",-62.9161166666667,46.9425833333333,"fixed 2013","Yes","No",NA,NA,NA,NA,NA,NA
"GP149F",-63.0144183333333,46.9239166666667,"regular","No","No",-63.0795283370137,46.998024470794,-63.1258097068929,46.9211932521421,-63.0932158360926,46.9898689223274
"GP147F",-63.022335,46.8825808333333,"regular","No","No",-63.0615173700862,46.7923966662282,-63.1265541391393,46.8674513827716,-62.9765106712278,46.8045524087362
"GP123F",-63.1634333333333,46.86925,"fixed 2013","Yes","Yes",NA,NA,NA,NA,NA,NA
"GP128F",-63.2138091666667,46.7471408333333,"regular","No","No",-63.1736917264163,46.702712049632,-63.2619379646498,46.7693541458666,-63.1384057082284,46.6588638821847
"GP099F",-63.416525,46.7917708333333,"regular","No","No",-63.3786727560615,46.8350025161431,-63.3283742197942,46.8063234487341,-63.4428626813818,46.8737673632669
"GP094F",-63.5661166666667,46.7780333333333,"fixed 2013","Yes","Yes",NA,NA,NA,NA,NA,NA
"GP077F",-63.6560225,46.8967016666667,"regular","No","Yes",-63.7779661273974,46.990538708893,-63.7037251769278,46.9858369492362,-63.732119287727,46.9076781827212
"GP084F",-63.5844683333333,46.9234883333333,"regular","No","No",-63.5424583593479,46.9531596502149,-63.5335358478985,46.9523824410688,-63.515127193806,46.9878576109817
"GP113F",-63.4402666666667,46.9689666666667,"fixed 2013","Yes","No",NA,NA,NA,NA,NA,NA
"GP127F",-63.2000166666667,46.9576408333333,"regular","No","No",-63.2335209950243,46.9241772520851,-63.1733404228247,46.9537803315635,-63.2019044821997,46.9991379933768
"GP125F",-63.2880625,47.0086958333333,"regular","No","No",-63.1804966869166,47.0699572316794,-63.252870196886,47.0131525929937,-63.1472779516301,47.0568091043129
"GP106F",-63.4103166666667,47.0789166666667,"fixed 2013","Yes","No",NA,NA,NA,NA,NA,NA
"GP080F",-63.48084,47.1874066666667,"regular","No","No",-63.4863002525307,47.2088185775944,-63.4766465969747,47.2019867157212,-63.6001269140625,47.1599363329868
"GP088F",-63.5581883333333,47.1070458333333,"regular","No","No",-63.4961104366926,47.0944768433722,-63.5779840258567,47.0901212029124,-63.6091991391497,47.0631779004365
"GP068F",-63.7091166666667,47.10095,"fixed 2013","Yes","Yes",NA,NA,NA,NA,NA,NA
"GP076F",-63.6428383333333,47.2356466666667,"regular","No","No",-63.6814958201143,47.3069899533376,-63.6819802097902,47.2995889265103,-63.6643973226862,47.2995143980031
"GP061F",-63.76429,47.1947225,"regular","No","Yes",-63.7448643819721,47.1735534978632,-63.7184299052588,47.226703927451,-63.7650999605033,47.1175127109238
"GP049F",-63.83505,47.1288,"fixed 2013","Yes","No",NA,NA,NA,NA,NA,NA
"GP026F",-64.1884433333333,47.0882608333333,"regular","No","Yes",-64.2142723228022,47.079689477998,-64.2440921125094,47.0707408134903,-64.2550225353488,47.1037947258551
"GP024F",-64.24642,47.1894591666667,"regular","No","No",-64.2329787602667,47.206088536355,-64.2253977633729,47.1313244140111,-64.1565671256457,47.2207819349483
"GP036F",-64.0932,47.22495,"fixed 2013","Yes","Yes",NA,NA,NA,NA,NA,NA
"GP046F",-63.9497441666667,47.3345608333333,"regular","No","No",-63.9453944684957,47.334922425847,-63.8647275068758,47.2615218345834,-63.9578734290666,47.3315445914562
"GP067F",-63.8042916666667,47.3679791666667,"regular","No","No",-63.716454672732,47.3482348689341,-63.7434996743199,47.459976608873,-63.650871051288,47.4183134714417
"GP091F",-63.5124166666667,47.54975,"fixed 2013","Yes","No",NA,NA,NA,NA,NA,NA
"GP066F",-63.7865266666667,47.4704241666667,"regular","No","No",-63.6652328704412,47.4615407489329,-63.6491901469156,47.4818802707428,-63.799608956485,47.5345010529952
"GP048F",-63.8326925,47.4450116666667,"regular","No","No",-63.8603524758394,47.3530523948857,-63.8656752802631,47.4272327577957,-63.9093249970658,47.378003141631
"GP050F",-63.8880666666667,47.5093666666667,"fixed 2013","Yes","No",NA,NA,NA,NA,NA,NA
"GP044F",-64.0879758333333,47.4114358333333,"regular","No","No",-64.1310048922718,47.4128380397007,-64.1034291643313,47.392243534752,-63.9864682675033,47.3530114971734
"GP025F",-64.1903716666667,47.3124166666667,"regular","No","No",-64.3009939783084,47.2679402127742,-64.1981733372814,47.2489909582813,-64.2108490685851,47.2324116355522
"GP016F",-64.4408825,47.3005966666667,"regular","No","Yes",-64.3177594021132,47.255838320235,-64.4517147203094,47.3348927668801,-64.3455036220595,47.2591834637841
"GP023F",-64.286635,47.35605,"regular","No","No",-64.2800342260416,47.439357927889,-64.2118506654166,47.4274981989226,-64.30932346407,47.442912475221
"GP019F",-64.3465333333333,47.4335383333333,"regular","No","No",-64.3639416556137,47.4511412169857,-64.4262899992559,47.3962930686626,-64.3551174697616,47.3664518138174
"GP018F",-64.3276666666667,47.5410333333333,"fixed 2013","Yes","No",NA,NA,NA,NA,NA,NA
"GP028F",-64.1818275,47.5416766666667,"regular","No","No",-64.3067590933692,47.5480262565722,-64.2309046859716,47.4568318702013,-64.1922375479398,47.5346853726668
"GP032F",-64.1336108333333,47.550265,"regular","No","Yes",-63.9830036717439,47.4616088131596,-64.0675722365547,47.5047075539619,-64.0701555728146,47.5036527049487
"GP022F",-64.3014333333333,47.6742,"fixed 2013","Yes","No",NA,NA,NA,NA,NA,NA
"GP030F",-64.1572141666667,47.6965233333333,"regular","No","No",-64.2287331763117,47.7924346280188,-64.198573250161,47.7668205329908,-64.2770396049427,47.726712932789
"GP040F",-64.0955991666667,47.6797025,"regular","No","No",-63.9915843012281,47.5995716796753,-64.0886417637857,47.5996672041707,-64.0875365550556,47.6713756588765
"GP042F",-64.0009666666667,47.7666666666667,"fixed 2013","Yes","No",NA,NA,NA,NA,NA,NA
"GP041F",-64.0178108333333,47.8231225,"regular","No","No",-64.0813325372381,47.846822502214,-64.0685594703153,47.9060297254021,-64.0302055366886,47.905793534741
"GP015F",-64.4670433333333,48.1173175,"regular","No","No",-64.5062823203469,48.1282622318942,-64.4149232587252,48.1436228073322,-64.4509534883484,48.1305418397617
